ADILA,Adilabad
AGRA,Agra
AHMED,Ahmedabad
AHMED,Ahmednagar
AIZAW,Aizawl
AJITG,Ajitgarh (Mohali)
AJMER,Ajmer
AKOLA,Akola
ALAPP,Alappuzha
ALIGA,Aligarh
ALIRA,Alirajpur
ALLAH,Allahabad
ALMOR,Almora
ALWAR,Alwar
AMBAL,Ambala
AMBED,Ambedkar Nagar
AMRAV,Amravati
AMREL,Amreli district
AMRIT,Amritsar
ANAND,Anand
ANANTP,Anantapur
ANANTG,Anantnag
ANGUL,Angul
ANJAW,Anjaw
ANUPP,Anuppur
ARARI,Araria
ARIYA,Ariyalur
ARWAL,Arwal
ASHOK,Ashok Nagar
AURAI,Auraiya
AURAN,Aurangabad
AZAMG,Azamgarh
BADGA,Badgam
BAGAL,Bagalkot
BAGES,Bageshwar
BAGPA,Bagpat
BAHRA,Bahraich
BAKSA,Baksa
BALAG,Balaghat
BALAN,Balangir
BALAS,Balasore
BALLI,Ballia
BALRA,Balrampur
BANAS,Banaskantha
BANDA,Banda
BANDI,Bandipora
BANGA,Bangalore
BANKA,Banka
BANKU,Bankura
BANSW,Banswara
BARAB,Barabanki
BARAM,Baramulla
BARAN,Baran
BARDH,Bardhaman
BAREI,Bareilly
BARGA,Bargarh (Baragarh)
BARME,Barmer
BARNA,Barnala
BARPE,Barpeta
BARWA,Barwani
BASTA,Bastar
BASTI,Basti
BATHI,Bathinda
BEED,Beed
BEGUS,Begusarai
BELGA,Belgaum
BELLA,Bellary
BETUL,Betul
BHADR,Bhadrak
BHAGA,Bhagalpur
BHAND,Bhandara
BHARA,Bharatpur
BHARU,Bharuch
BHAVN,Bhavnagar
BHILW,Bhilwara
BHIND,Bhind
BHIWA,Bhiwani
BHOJP,Bhojpur
BHOPA,Bhopal
BIDAR,Bidar
BIJAP,Bijapur
BIJNO,Bijnor
BIKAN,Bikaner
BILAS,Bilaspur
BIRBH,Birbhum
BISHN,Bishnupur
BOKAR,Bokaro
BONGA,Bongaigaon
BOUDH,Boudh (Bauda)
BUDAU,Budaun
BULAN,Bulandshahr
BULDH,Buldhana
BUNDI,Bundi
BURHA,Burhanpur
BUXAR,Buxar
CACHA,Cachar
CENTR,Central Delhi
CHAMA,Chamarajnagar
CHAMB,Chamba
CHAMO,Chamoli
CHAMPA,Champawat
CHAMPH,Champhai
CHANDAU,Chandauli
CHANDEL,Chandel
CHANDI,Chandigarh
CHANDRA,Chandrapur
CHANG,Changlang
CHATR,Chatra
CHENN,Chennai
CHHAT,Chhatarpur
CHHIN,Chhindwara
CHIKK,Chikkaballapur
CHIKK,Chikkamagaluru
CHIRA,Chirang
CHITRDR,Chitradurga
CHITRKO,Chitrakoot
CHITTOOR,Chittoor
CHITTGR,Chittorgarh
CHURA,Churachandpur
CHURU,Churu
COIMB,Coimbatore
COOCH,Cooch Behar
CUDDA,Cuddalore
CUTTA,Cuttack
DADRA,Dadra and Nagar Haveli
DAHOD,Dahod
DAKSHDINA,Dakshin Dinajpur
DAKSHKANNA,Dakshina Kannada
DAMAN,Daman
DAMOH,Damoh
DANTE,Dantewada
DARBH,Darbhanga
DARJE,Darjeeling
DARRA,Darrang
DATIA,Datia
DAUSA,Dausa
DAVAN,Davanagere
DEBAG,Debagarh (Deogarh)
DEHRA,Dehradun
DEOGH,Deoghar
DEORI,Deoria
DEWAS,Dewas
DHALA,Dhalai
DHAMT,Dhamtari
DHANB,Dhanbad
DHAR,Dhar
DHARM,Dharmapuri
DHARW,Dharwad
DHEMA,Dhemaji
DHENK,Dhenkanal
DHOLP,Dholpur
DHUBR,Dhubri
DHULE,Dhule
DIBAN,Dibang Valley
DIBRU,Dibrugarh
DIMA ,Dima Hasao
DIMAP,Dimapur
DINDI,Dindigul
DINDO,Dindori
DIU,Diu
DODA,Doda
DUMKA,Dumka
DUNGA,Dungapur
DURG,Durg
ECHAMPA,East Champaran
EDEL,East Delhi
EGARO,East Garo Hills
EKHASI,East Khasi Hills
ESIANG,East Siang
ESIKKIM,East Sikkim
ESINGH,East Singhbhum
ELURU,Eluru
ERNAK,Ernakulam
ERODE,Erode
ETAH,Etah
ETAWA,Etawah
FAIZA,Faizabad
FARIDBD,Faridabad
